metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1788874646.2704,elite,39.861861666996,1785584153.4788,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,True,Grand Est,success,Europe/Paris,67630,1788607965,1788949416.9761,80,http,109.199.119.160:80,False,8.3343982696533,60936,524,99.147412951513,109.199.119.160
True,1788949416.2407,elite,2285.1490691447,1710540237.4169,AS212637 LightNet Sh.p.k.,LightNet,Rrashbull,Europe,EU,Albania,AL,,False,Lightnet Sh.p.k.,41.3228,19.5103,False,Lightnet Sh.p.k,True,Durrës County,success,Europe/Tirane,,1788447523,1788949416.2407,4145,socks4,185.190.90.2:4145,True,170.96328735352,225065,1002389,18.335921346136,185.190.90.2
True,1788949351.5623,elite,5448.6552881472,1782138410.5528,AS41745 Baykov Ilya Sergeevich,FORTIS-AS,Helsinki,Europe,EU,Finland,FI,,False,Baykov Ilya Sergeevich,60.1698,24.9383,False,Baykov Ilya Sergeevich,True,Uusimaa,success,Europe/Helsinki,,1788790697,1788949415.8161,1080,socks5,93.123.30.53:1080,True,1179.2147159576,46113,83303,35.631606601966,93.123.30.53
True,1788926575.3524,elite,2317.1874018067,1785989871.5395,AS46177 White Sky Hosting,WHITE-SKY-HOSTING,Morehead City,North America,,United States,US,,True,White Sky Hosting,34.7143,-76.7298,False,White Sky Hosting,True,North Carolina,success,America/New_York,28557,1788408414,1788949415.8066,80,http,31.56.65.108:80,False,660.04872322083,31999,9164,77.737288341472,31.56.65.108
True,1788812706.0302,elite,1753.4143215697,1776085195.0863,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Cincinnati Bell Telephone Company LLC,39.1443,-84.5482,False,Fuse Internet Access,True,Ohio,success,America/New_York,45225,1788786597,1788949415.7733,4145,socks5,216.68.128.121:4145,True,1212.9917144775,300124,708,99.764652696522,216.68.128.121
True,1788949415.7663,elite,3796.1271173384,1788870760.5666,AS23956 AmberIT Limited,AMBERIT-BD-AS,Dhaka,Asia,AS,Bangladesh,BD,,False,Amber IT Limited,23.7729,90.3657,False,Dhakacom Limited,False,Dhaka Division,success,Asia/Dhaka,1207,1788868155,1788949415.7663,9090,socks5,118.179.202.230:9090,True,1209.3238830566,1630,908,64.223798266351,118.179.202.230
True,1788949398.8306,elite,1975.4248699688,1710564534.0638,AS200780 Eurofiber France SAS,APPLIWAVE,Paris,Europe,EU,France,FR,,False,Eurofiber France SAS,48.8763,2.29212,False,Avelia,True,Île-de-France,success,Europe/Paris,75017,1788480658,1788949415.7329,5678,socks4,95.178.108.189:5678,True,1161.1351966858,216630,986268,18.009008245088,95.178.108.189
True,1788904273.5929,elite,4444.7822899372,1750609263.6185,AS328212 THE UNIVERSITY OF CAPE COAST,The-University-Of-Cape-Coast-AS,Accra,Africa,AF,Ghana,GH,,False,THE UNIVERSITY OF CAPE COAST,5.5545,-0.1902,False,University of Cape Coast,True,Greater Accra Region,success,Africa/Accra,,1788370594,1788949415.6806,80,http,156.38.112.11:80,False,686.26570701599,166635,78587,67.952712236259,156.38.112.11
True,1788949415.5875,elite,3391.2472295468,1776079685.5042,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Irvine,North America,,United States,US,,False,Cox Communications Inc.,33.6846,-117.827,False,Cox Communications,True,California,success,America/Los_Angeles,92612,1788779238,1788949415.5875,4145,socks4,72.195.34.41:4145,True,800.24242401123,347000,302112,53.457646754335,72.195.34.41
True,1788914573.0506,elite,2173.3136755696,1770199771.1831,"AS397966 ReadyDedis, LLC",READYDEDISLLC,Los Angeles,North America,,United States,US,,False,"ReadyDedis, LLC",34.0549,-118.243,False,Readydedis,True,California,success,America/Los_Angeles,90009,1788927575,1788949415.5357,22222,socks5,193.25.215.182:22222,True,1023.0543613434,293950,5095,98.296243040345,193.25.215.182
